sku,email,First name,Surname,Satisfied
10127156,1@gmail.com,Ann,Dave,10
21962954,2@gmail.com,Sara,Hoiui,8
694974,3@gmail.com,Don,Bob,7
21856081,4@gmail.com,Danii,Roger,8
10119868,5@gmail.com,Susan,Brown,1
21491624,6@gmail.com,Ann,Dave,10
10118366,1@gmail.com,Ann,Dave,0
12258535,1@gmail.com,Sara,Hoiui,5
21311361,1@gmail.com,Don,Bob,7
10124554,1@gmail.com,Danii,Roger,2
10027643,1@gmail.com,Susan,Brown,6
21812707,1@gmail.com,Susan,Brown,7
10138416,7@gmail.com,Vanessa,Stuart,8
10141609,7@gmail.com,Vanessa,Stuart,6
10133100,7@gmail.com,Vanessa,Stuart,5
10137748,7@gmail.com,Vanessa,Stuart,8
10138740,7@gmail.com,Vanessa,Stuart,4
21019340,8@gmail.com,Clare,Jason,5
10124555,8@gmail.com,Clare,Jason,7
10134465,8@gmail.com,Clare,Jason,9
21019302,8@gmail.com,Clare,Jason,8
21305152,8@gmail.com,Clare,Jason,5
10118431,9@gmail.com,Nicole,Jones,6
853448,9@gmail.com,Nicole,Jones,6
674606,9@gmail.com,Nicole,Jones,8
10140113,9@gmail.com,Nicole,Jones,7
8002912,9@gmail.com,Nicole,Jones,9
10142589,6@gmail.com,Martina,Meng,10
10135646,6@gmail.com,Martina,Meng,4
10127023,6@gmail.com,Martina,Meng,6
10126856,6@gmail.com,Martina,Meng,7
10023810,6@gmail.com,Martina,Meng,8
10139748,10@gmail.com,Andrea,Rollens,5
10118486,10@gmail.com,Andrea,Rollens,8
10136924,10@gmail.com,Andrea,Rollens,9
10140088,10@gmail.com,Andrea,Rollens,6
10138434,10@gmail.com,Andrea,Rollens,3
10141196,10@gmail.com,Andrea,Rollens,2
